Interface 1, Endpoint OUT: 0x04, IN: 0x83

direction  len   timedelta     packet
OUT        64    0.000000000   42000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.001820000   42000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT		   64	 0.006210000   42100000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN		   64    0.001676000   42100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT        64    0.000032000   43000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.001005000   43000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT        64    0.000670000   41800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.000018000   41800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT        64    0.000615000   52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.000957000   52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT        64    0.002673000   41800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.001006000   41800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
OUT        64    0.004052000   52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
IN         64    0.001014000   52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
